method_id,number,garbage
8385,3,18658864
21395,4,7933616
12,10,6979544
19912,4483,6537040
1125,175935,6054800
10426,145415,5147648
5725,1128,5077976
5595,176482,4668688
22119,3,3527016
12649,265235,3098496
5177,1880,3089856
19750,117,2306912
21882,18882,1989920
19770,11,1792672
20419,2963,1782936
19918,3019,1726296
22560,1,1687760
10424,5196,1668664
23321,1,1572024
7118,28747,1338056
2579,6725,1218200
22383,5,1216336
216,19499,1181912
18299,176158,1153608
14584,2578,1114792
15031,11993,955584
2429,9873,923944
15445,26118,914120
17903,19082,777144
3923,2501,705680
12662,4418,661536
14467,23639,561120
21889,16994,543712
14991,9666,505200
230,32751,492888
15391,49727,480784
2450,11248,457208
6459,9316,403704
3933,84278,403552
19656,6331,383064
15038,68848,381312
207,2501,363048
3922,85943,323656
869,11331,316320
18829,2983,303208
19901,3929,303192
15773,212,288728
14984,32451,278864
16334,818,265920
19712,61033,262176
2834,65,261056
19018,3922,258496
14981,9341,248560
5312,10876,237608
3489,2144,229248
1820,195206,227232
20755,2709,216720
211,257650,204688
5402,2373,200760
